"","genre","avgFollowers"
"294","finnish heavy metal",82384.1111111111
"6001","hindustani vocal",82328.8181818182
"5318","mestissatge",82277.4285714286
"2871","nashville singer-songwriter",82132.5714285714
"5646"," math rock",81909.4285714286
"3909","doujin",81385.8888888889
"7267","trap metal italiana",81258.1666666667
"2284","israeli singer-songwriter",80963.9473684211
"6131","funk melody",80891.9230769231
"138","zhenskiy rep",80849.6875
"4786","wonky",80651.8275862069
"5853","proto-hyperpop",80622.1515151515
"4052","noise rock",80432.9
"1656","german viral rap",80425.4444444444
"3312","sudanese hip hop",80421.6666666667
"4153","rai algerien",80051.1515151515
"3866"," jazz piano",80049.3636363636
"7782","modern jazz piano",80049.3636363636
"529","israeli pop",79914.1274509804
"2555","nottingham hip hop",79887.5555555556
"2170","rap underground espanol",79839.9777777778
"3594","ghanaian pop",79768.5294117647
"3118","classic hardstyle",79686.2307692308
"6042","maghreb",79599.0769230769
"6552","proto-techno",79544
"44"," cantopop",79471.7605633803
"4478","classic cantopop",79471.7605633803
"1185","funk 150 bpm",79374.7090909091
"2343","thai trap",79355.8125
"5385","japanese blues",79191.3333333333
"4710","rap guarulhense",79130.8
"2127","neoperreo",78835.75
"2601","zamba",78805.3333333333
"3714","rumeli turkuleri",78747
"5582","slayer",78628
"3927","morna",78614
"2643","south african house",78589.2769230769
"4464"," ok indie",78094
"149"," pop rap",78078.5575221239
"655","amapiano",78074.9704142012
"6692","japanese vocal jazz",78068.5
"354","austin hip hop",78016.25
"5242","japanese vgm",78009.8333333333
"1009","taiwan singer-songwriter",77926.8227848101
"6093","progressive bluegrass",77737.2916666667
"3739"," opera",77548.625
"5606","cedm",77481.125
"1113","hopebeat",77423.2857142857
"4253","turkish modern jazz",77393.7857142857
"2640","luk thung",77310.7777777778
"2457","icelandic indie",77260.03125
"6343","mandolin",77214.75
"7514","danish techno",77080.6666666667
"7414","country quebecois",77046.5
"3565","soundtrack",76986.2971698113
"6523","samba-jazz",76828.4285714286
"4022","deep southern trap",76719.2745098039
"3929","experimental ambient",76585.4
"6538","raw techno",76579
"6305","new beat",76558.3333333333
"1946","pop edm",76524.8865248227
"6725","oulu metal",76502
"4038","birmingham hip hop",76487.3333333333
"2571","flamenco fusion",76450.4285714286
"826","melbourne bounce international",76432.3225806452
"6975","workout product",76431.5
"423"," punjabi pop",76411.4
"3972","classic punjabi pop",76411.4
"2863","rap calme",76377.4553571429
"3149","chamber folk",76198.3333333333
"7459","xhosa",75913.8333333333
"5991","christian dance",75901.3333333333
"3683","beat italiano",75898.75
"2912","german indie folk",75881.1666666667
"418","bass trap",75807.2432432432
"4334"," chillhop",75783.75
"5458","japanese chillhop",75783.75
"840"," italian soundtrack",75764.8
"6209","vintage italian soundtrack",75764.8
"6291","musica nublensina",75745.75
"7190","russian folk",75727.6666666667
"6583","experimental",75678.0777385159
"4337","essex indie",75544
"5412","rap antillais",75431.4736842105
"1910","dalarna indie",75423.5
"2339","singaporean pop",75401.0925925926
"7203","oc indie",75376
"7386","one-person band",75251.75
"1608","drill chileno",74819.6
"5355","kenyan hip hop",74639.4
"1389","rai",74499.0810185185
"2425","russian viral pop",74378.3
"1902","huzunlu sarkilar",74293.625
"7107","portland indie",74222
"3629","rap motywacja",74100.8125
"5506","roots worship",73918.8333333333
"2450","russian electronic",73791.8709677419
"3432","australian singer-songwriter",73699.5454545455
"507"," j-rock",73560.5
"1551","classic j-rock",73560.5
"2247","danish pop rock",73549.6129032258
"2143","musica nicaraguense",73246.8461538462
"1513","aussietronica",73226.2
"4023","neue deutsche welle",73199.1428571429
"2952","atlanta bass",73001.1
"4661","nepali indie",72949.5
"2972","russian indie",72892.1304347826
"838","dutch americana",72806.2
"7521","rennes indie",72805
"430","german indie",72799.2931034483
"4378","cante flamenco",72511.1333333333
"3227","colombian indie",72501.4
"3998","indie jazz",72480.975
"7789","nephop",72408.5
"4622","huayno",72215.3333333333
"1975","brisbane indie",72204.9230769231
"313","brazilian edm",72027.8880597015
"7565","khayal",71896.6666666667
"3052"," bluegrass",71859.7692307692
"3219","schlager",71733.7262569832
"7185","kenyan pop",71615.6923076923
"435","aussie drill",71597.6896551724
"1027","sudanese pop",71552.5833333333
"2154"," tipico",71439.8125
"4278","merengue tipico",71439.8125
"2161","german cloud rap",71421.6865671642
"1811","israeli rock",71301.3611111111
"6329","straight-ahead jazz",71286.8
"2190","abstract hip hop",71278.3793103448
"2545","banjo",70995.1428571429
"4791","taiwanese indie",70954.3333333333
"1056","portuguese pop",70784.1630434783
"7764","oakland indie",70711.8
"3717","chaabi marocain",70618.3333333333
"2252","german house",70596.2926829268
"7142","australian trap",70467.05
"1877","swedish tropical house",70463.6538461538
"5990","chinese audiophile",70171
"4707"," melodic techno",70146.3333333333
"6350","minimal melodic techno",70146.3333333333
"1139","ukrainian pop",70102.3035714286
"7065","oktoberfest",70062.7777777778
"5520","melodic techno",70034.0540540541
"6632","japanese folk",70014
"7256","koligeet",69886.3333333333
"4088","electric bass",69879.1818181818
"1182","dutch cabaret",69710.0555555556
"4542","buffalo hip hop",69693.0833333333
"6127","jazz puertorriqueno",69684.8
"1368","danish electronic",69658.7317073171
"4205","vocal house",69610.6052631579
"2524","lo-fi cover",69603
"107","sad lo-fi",69536.4848484848
"3711","irish hip hop",69511.1666666667
"4239","slovak rock",69437.75
"1837","fado",69388.7878787879
"406","romanian pop",69262.0657894737
"6630","sesotho hip hop",69223.6666666667
"2151","diva house",69142.9111111111
"4651","turkish metal",68980
"3662","canadian contemporary country",68957.5263157895
"116","vapor soul",68953.9133333333
"1561","funana",68875.2
"804","indie rockism",68873
"2894","san diego rap",68867.25
"182"," rai",68698.4615384615
"1978","deep rai",68698.4615384615
"4517","latintronica",68598.65
"971","lo-fi chill",68476.2127659574
"2933","classic dubstep",68439.5609756098
"1945","disco house",68154.6826923077
"4149"," techno",68084.3075539568
"1575","drum and bass",67973.0303030303
"767","contemporary jazz",67906.1184210526
"3247","laiko",67817.9351851852
"5948","techno",67778.4835924007
"4886","chinese classical piano",67777
"6374","igbo rap",67733
"512","new school turkce rap",67580.5365853659
"1494","russian rave",67527.652173913
"156","dutch pop",67466.0912863071
"1362","thai pop rap",67390.3
"7056","cook islands pop",67285
"1387","portuguese rock",67128.5789473684
"6874","uk experimental electronic",66941.3636363636
"4468","dark post-punk",66887
"4394","plug brasileiro",66870.8
"4759","jazz saxophone",66804.7368421053
"6124","latin ska",66758.2857142857
"7171","world devotional",66747
"6603","oud",66740.4594594595
"6947","musica ayacuchana",66645
"6118","xitsonga pop",66581.75
"3522","pop quebecois",66581.0952380952
"4629","nova musica carioca",66513.1818181818
"4885","west coast trap",66503.0476190476
"5480","west end",66483
"6236","welsh hip hop",66446
"7302","drill and bass",66411.875
"3225","canadian celtic",66286.5
"3032","ambient guitar",66191.6
"173","cantopop",66173.6977777778
"3441","belgian techno",66035.5454545455
"2286"," world",66010.7619047619
"4678","fourth world",66010.7619047619
"7088","rumba catalana",65890.25
"6154","bluegrass gospel",65774.2857142857
"4451","bluegrass",65613.90625
"1192","swedish dancehall",65534.71875
"1990","kazakh pop",65518.44
"5656","blues latinoamericano",65463.4
"4818","desert blues",65299.5555555556
"944","flamenco urbano",65145.1315789474
"3063","avant-garde jazz",65110.5
"4265","south african r&b",65067.9375
"6799","salsa urbana",64785.5
"2271","rkt",64741.0196078431
"686","chinese indie",64528.5108695652
"1400","future garage",64496.3134328358
"3758","dub",64453.3797752809
"7645","indonesian ska",64397
"450","hip hop tuga",64364.3431372549
"4583","nashville indie",64270.25
"6841","musica costena",64222
"6972","narodna muzika",64149
"6761","musica goiana",64063
"1440","emo rap italiano",64031.7692307692
"5530","scorecore",63987.5
"5783","frenchcore",63924.4
"4109","christian pop",63826.2592592593
"4566","igbo pop",63821.8
"5770","puerto rican folk",63806.1111111111
"4259","ecm-style jazz",63719.0869565217
"1449","moldovan pop",63561.9473684211
"6855","mambo",63501.5438596491
"2337","emo trap en espanol",63497
"2844","rap romantico",63497
"5022","filthstep",63407.0555555556
"302"," modern rock",63378.5
"2691","spanish modern rock",63378.5
"5517","folclore jujeno",63245
"6228","progressive jazz fusion",63205.1666666667
"5638","indie quebecois",63062.1666666667
"1610","classic turkish pop",63047.4090909091
"7400","celtic metal",63047
"5635","uk82",62792
"1586","cumbia paraguaya",62759.6774193548
"4604","detroit techno",62658.3846153846
"7501","spiritual hip hop",62489.3333333333
"5759","reggae catala",62480.4166666667
"5567","canadian indigenous hip hop",62406.3333333333
"748","hard bass",62377.7272727273
"4193","jazz mexicano",62321.75
"4879","kwaito",62246.24
"5682","lds",62243.0333333333
"6776","american grindcore",62234
"1684","dubstep",62183.7977207977
"192","greek pop",62135.8851351351
"2488","jewish pop",62067.75
"7236","synthwave",61985.2352941177
"24","japanese dance pop",61928.4074074074
"1202","indonesian emo",61899.7142857143
"3304","hip-hop experimental",61852.5
"1186"," disco house",61720.2950819672
"2718","deep disco house",61720.2950819672
"7331","swamp pop",61688
"6904","himachali pop",61624.25
"198","early modern classical",61595.5365853659
"2158","ukrainian indie",61517.375
"2429","taiwan idol pop",61482.8235294118
"3284","japanese alternative pop",61480.375
"5215","munich indie",61379.2857142857
"3847","bounce",61379.1260504202
"3527","chillstep",61313.6153846154
"1034","belgian indie",61158.380952381
"7028","jazz clarinet",61065.2857142857
"2695","ambient house",60958.0769230769
"1889","taiwan indie",60923.0163934426
"1341","carnaval",60886.9887640449
"1977","future bass",60865.9135135135
"1086","turkce kadin rap",60782.6666666667
"4744","american modern classical",60743
"4521","josei rap",60676.9411764706
"2971","australian indie rock",60656.5555555556
"2231","icelandic rock",60621.3333333333
"5882","lo-fi house",60515
"3969","british jazz",60321.8181818182
"4083","rawstyle",60237.9714285714
"2333","faroese indie",60183.6666666667
"5772","fantasy",60181.5454545455
"1272","hong kong rock",60164.2
"139","greek hip hop",60091.8734177215
"1083","balkan hip hop",60043.5263157895
"419"," dubstep",59846.2033333333
"6082","canadian hardcore",59752
"4584","polish post-punk",59713
"1000"," future bass",59704.5294117647
"5088","kawaii future bass",59704.5294117647
"5910","flamenco guitar",59651.0714285714
"282"," thai pop",59540.7692307692
"3186","classic thai pop",59540.7692307692
"6525","ebm",59537.5
"775","belgian rock",59471
"2379"," samba",59449.8571428571
"7022","roda de samba",59449.8571428571
"7629","wyoming roots",59383
"4295","cabaret",59353.6785714286
"1539","channel pop",59350.2432432432
"1124","canadian americana",59295.5
"6530","cowboy western",59278.6666666667
"2094","chanson humoristique",59211.75
"4690","deathstep",59148.7222222222
"2071","asakaa",58962.75
"1293","classic romanian pop",58820.2352941177
"1294"," romanian pop",58820.2352941177
"1564","new french touch",58795.9727891156
"3205","football",58768
"4364","euphoric hardstyle",58675.25
"1887","kyushu indie",58644.4285714286
"921","malaysian mandopop",58610.5882352941
"4343","italian techno",58567.5909090909
"2884","vapor twitch",58566.813253012
"6120","jazz trio",58535.8571428571
"6735","instrumental bluegrass",58466.4285714286
"4035","german jazz",58444.8095238095
"1499","banda carnavalera",58350.7857142857
"1735","bassline",58217.0666666667
"3627","nu disco",58182.9292929293
"6440","appalachian folk",58108.4444444444
"492"," israeli pop",57986.2315789474
"952","classic israeli pop",57986.2315789474
"5272","kannada pop",57980.9
"1287"," persian pop",57978.8571428571
"5514","classic persian pop",57978.8571428571
"2508","pacific islands pop",57863.75
"5944","garage punk",57860.1428571429
"6249","thai metal",57850
"5186"," mandolin",57771.5
"6223","classical mandolin",57771.5
"1523","sped up",57570.0909090909
"5962","lezginka",57542
"5281","french romanticism",57521.6
"891"," psychedelic rock",57510
"4063","old school dancehall",57502.2769230769
"4495","fremantle indie",57497.7142857143
"2210","swedish soul",57436.0294117647
"4161","slam poetry",57422.7272727273
"4384","nuevo tango",57411
"7518","hiplife",57399.4705882353
"2455","jawaiian",57325.962962963
"3588","cumbia salvadorena",57247.5714285714
"2629","chinese minyao",57170.7
"4367","dutch prog",57146.6666666667
"2776","new jersey underground rap",57102.75
"4755","persian electronic",57074.5714285714
"3636","nijisanji",56957
"533","malay rap",56851.9365079365
"4097","deep disco",56835.6567164179
"4764","rap lyonnais",56705.3076923077
"744","mainland chinese pop",56641.6875
"3310","rap regio",56564.2
"5100","japanese classical",56477.9142857143
"5325","uk bass",56457.183908046
"4937","scottish electronic",56433.8888888889
"859","hyperpop en espanol",56428.2222222222
"2918","dark cabaret",56283.5
"5054"," dub",56220.7828746177
"7801","latin american classical piano",56171
"7583","guitarra argentina",55894.25
"3341","big band",55857.7435897436
"4174","nederpop",55830.3684210526
"7407","musica tradicional dominicana",55829
"4449","final fantasy",55769
"2765","bangla pop",55738.8333333333
"2259"," trova",55682.4444444444
"6024","nueva trova chilena",55682.4444444444
"4831","roots americana",55621
"1342","czech rock",55589.0138888889
"3988","oldschool deutschrap",55506.3658536585
"5329","montreal indie",55504.4166666667
"2126","movie tunes",55445.9166666667
"7689","christian trap",55429.6206896552
"1758"," old school hip hop",55364.2105263158
"5492","black comedy",55362.5454545455
"6853","jazz venezolano",55304.5
"544","ukrainian rock",55290.0289855072
"4486","japanese psychedelic",55176.5
"7426","israeli classical piano",55145
"1255","rap inde",55056.8939393939
"6400","choro",55042.5
"2417","french dnb",54986.3333333333
"3676","puirt-a-beul",54964.6666666667
"3651","industrial pop",54912.6666666667
"3807","musica gaucha tradicionalista",54909
"5571","rhythm game",54815.3333333333
"517","french indie folk",54760.2
"7104","nopixel",54753
"818"," australian hip hop",54648.5
"7531","west australian hip hop",54648.5
"236","malaysian indie",54638.1276595745
"1930","south african rock",54628.4166666667
"4597","pakistani indie",54560.3333333333
"763","bali indie",54542.5
"5457","classic bangla pop",54423.5833333333
"6625","mbalax",54348.2857142857
"2901","faroese pop",54316.25
"7043","drone metal",54297.3333333333
"2325","classic city pop",54230.05
"3503","piratenmuziek",54219
"279","swedish idol pop",54178.2321428571
"6637","rhythm and blues",54166
"1075","skansk musik",54114.0555555556
"362","k-indie",54031.6376811594
"1550","japanese viral pop",53970.3076923077
"4766","organic electronic",53909.8648648649
"5403","musica popular paraense",53755.5
"7355","cuban funk",53522.5
"656","romanian rap",53512.984375
"3499","deep folk metal",53423
"2300","turkce remix",53375.2857142857
"566"," russian pop",53373.8846153846
"1028","classic russian pop",53373.8846153846
"3362","baltimore hip hop",53297.7
"7697","jazz organ",53272.2
"4352","german opera",53121.2727272727
"3074","oriental metal",53119.3333333333
"3784","uk alternative hip hop",53037.7816091954
"5031"," alternative hip hop",53037.7816091954
"689"," emo rap",52852.0379746835
"5871","chill out",52806
"6176","german country",52659.375
"813","greek trap",52644.625
"4223","bhojpuri pop",52640.0769230769
"4140","italian soundtrack",52577.3913043478
"4925","tierra caliente",52541
"2786","indie psych-pop",52539.2
"2505","melbourne bounce",52538.5420560748
"4528","trance",52295.4409836066
"4785","ukg revival",52293.12
"946","partyschlager",52268.3617021277
"5181","bandolim",52140
"4305","stride",52114.8260869565
"3085","classical",52040.5674603175
"7329","polish indie",52036.1481481481
"2988","vapor pop",51983.2678571429
"5986","norwegian singer-songwriter",51967.7727272727
"6102","latino comedy",51872.6666666667
"4457","chasidic pop",51836
"3664"," experimental",51829.935483871
"7089","experimental house",51822.25
"2222"," contemporary country",51787.1538461538
"3001","classic venezuelan pop",51783
"4368","rap femenino mexicano",51763.8888888889
"479","polish alternative",51708.4338235294
"417"," ranchera",51684.2777777778
"3265","cumbia ranchera",51684.2777777778
"6255","musica paranaense",51660
"3457","psychedelic trance",51610.131147541
"643","albanian pop",51385.7209302326
"700","afrikaans",51310.0147058823
"6791","beninese pop",51228.5
"3776","granada indie",51203
"365","dutch hip hop",51178.9967320261
"1944","yugoslav rock",51132.0714285714
"5390","griot",51074.625
"1010","gqom",50932.5357142857
"6020","abstract",50905.7704918033
"1142","paraguayan rock",50890.5384615385
"2622","afro house",50764.0379746835
"5193","ghanaian alternative",50714.7647058823
"2823","neomelodici",50633.7391304348
"7235","socal indie",50572
"5748","american post-rock",50518
"7667","french opera",50504.3333333333
"5366","czech singer-songwriter",50459.8333333333
"4421"," lo-fi",50359.1940298507
"2365","classic peruvian pop",50358.8947368421
"1595","hyperpop",50313.5139664804
"3895","carimbo",50294.4
"6520","mbira",50244.75
"2963","rock chapin",50055.8333333333
"6375","jazz trombone",49826.875
"4956","electro-industrial",49822.4285714286
"1733"," disco",49761.5957446809
"6951","semba",49756
"4815","acoustic guitar cover",49749
"7295","rain",49577.2826086957
"5687","andean flute",49567.6666666667
"5163","caracas indie",49442.25
"2557","indie electropop",49228.8403361345
"3493","bosnian indie",49123.5
"1611","thai worship",49013.9
"2458","czech drill",49009.2222222222
"305","scandinavian r&b",48983.5384615385
"5339","london indie",48961
"1003","fotbollslatar",48858.5833333333
"5273","cumbia sonorense",48829
"858","manele",48762.9504950495
"540","danish pop",48719.6616541353
"5315","musique comorienne",48552
"6895","experimental classical",48529.5
"6288"," contemporary jazz",48445.3829787234
"3806","pokemon",48324.6
"190","russian drain",48320.3541666667
"5616","flint hip hop",48261.125
"536"," malaysian pop",48236.2298850575
"612","classic malaysian pop",48236.2298850575
"1980","mambo chileno",48203.0833333333
"5478","french folk pop",48176.75
"5097"," noise",48131.85
"7121","house argentino",48108.5
"2421"," hardstyle",48087.9633027523
"5328","japanese vtuber",48069.75
"95","deep talent show",48068.2307692308
"6245","vintage jazz",48065.3076923077
"4256","grime brasileiro",48062.6363636364
"7253","vocaloid metal",48035
"4929","nuevo flamenco",47999.8055555556
"4013","atmospheric dnb",47912
"805","drill italiana",47897.7857142857
"3056","canadian indie folk",47875
"3681","vietnamese pop",47835.5362318841
"7194","kora",47793.8
"2215","musik anak-anak",47783.5
"2530","musica catalana",47619.7209302326
"5035","happy hardcore",47618.1162790698
"2353","russian indie rock",47613.4444444444
"1682","chinese singer-songwriter",47602
"2014","balkan trap",47597.7222222222
"5335","vintage schlager",47597.52
"847","entehno",47564.8541666667
"5057","korean indie rock",47511.5454545455
"3827","blasmusik",47437
"2880","brazilian bass",47421.8461538462
"4803","dub brasileiro",47417.4285714286
"1784","australian indigenous",47417.4090909091
"3388","r&b italiano",47376.76
"6000","musica angolana",47370.78125
"5573","bandoneon",47357.7777777778
"3156","cello",47313.4347826087
"6363","scottish indie",47270.7142857143
"2582"," speed metal",47252
"5204","nederreggae",47232.6875
"6661","salsa cubana",47138.75
"5295","cancion infantil latinoamericana",47106
"6957","alternative ccm",47059
"9","classic swedish pop",47058.4938271605
"5233","gospel singers",47054.75
"1519","indie hip hop",47051.8333333333
"1950","canto popular uruguayo",46978.4705882353
"4571","avant-garde",46966.3043478261
"6081","balkan drill",46954.4
"7627","drone",46951.9166666667
"293","thai idol",46929.0444444444
"4387","brazilian modern jazz",46894
"1916","polish viral rap",46865.65
"2546"," celtic",46680
"5665","kleine hoerspiel",46580.6
"5613"," experimental electronic",46531.1470588235
"4816","french techno",46456.5
"1080","j-rap",46440.8595041322
"6820","didgeridoo",46415
"925","polish alternative rap",46328.2698412698
"897","cubaton",46301.2413793103
"2150","italian disco",46201.7
"1843","greek house",46190.2941176471
"5080","ann arbor indie",46082
"5619","afro-cuban percussion",45969.5
"1180","rock kapak",45966.7391304348
"7078","scottish hip hop",45935.3333333333
"675","austrian pop",45788.5
"3757","lo-fi beats",45750.5
"7009","piano mpb",45747.25
"3942","organic house",45693.275862069
"7037","eurobeat",45637.037037037
"7245","spectra",45332.2
"3596","deconstructed club",45305.8421052632
"6773","austrian dnb",45277.1666666667
"11"," swedish pop",45247.1420118343
"4726","indie emo",45227.2
"668","trance brasileiro",45220.4736842105
"4432","deutschrock",45070.4
"7723","sevdah",45000
"5345","gabba",44999.9166666667
"4655","rap feminino chileno",44963.5454545455
"3526","rap criolo",44902.2916666667
"7732","german post-hardcore",44795
"5501","south african jazz",44794.2307692308
"6559","hardstyle",44786.7118644068
"1458","dutch indie",44749.6388888889
"1640","arab trap",44696.7857142857
"6823","college a cappella",44692.2
"6541","canadian house",44653.6666666667
"746","dutch rap pop",44632.0867579909
"6752","folk black metal",44626
"967","rap espanol",44511.2342342342
"3117","belgian electronic",44508.7142857143
"5251","ecuadorian indie",44426.7777777778
"5666","brazilian punk",44257.1428571429
"4563","modular synth",43926.125
"5341","cambridge choir",43903
"3754","dutch dnb",43855.2142857143
"3097","ukrainian experimental",43844.5
"6399","isle of wight indie",43813
"6433"," latin christian",43730
"7270","deep latin christian",43730
"4813","tech house",43724.6959619952
"6086","spirituals",43669.8
"2766","epicore",43615.5714285714
"480"," polish pop",43600.2571428571
"494","classic polish pop",43600.2571428571
"4118","murcia indie",43566.9
"5418","latin tech house",43563.6875
"2363","dark techno",43549.1515151515
"2686","polish reggae",43495.1363636364
"3829","folclor afrocolombiano",43482.5
"5358","japanese jazz fusion",43462.3888888889
"4750","slovak punk",43452.3
"3691","christian afrobeat",43433.6666666667
"2868","vlaamse kinderliedje",43419.5714285714
"3424","acid house",43387.2592592593
"5579","rap uliczny",43334.1481481481
"7206","british country",43252.75
"3835","harmonica blues",43104.7142857143
"6706","japanese old school hip hop",43051.8947368421
"1262","vietnamese bolero",43044.9777777778
"7399"," bolero",43044.9777777778
"1909","austrian hip hop",43031.4545454545
"771"," jazz trio",42987
"4866","chamame",42974.5
"1059","devon indie",42964.6666666667
"4706","lo-fi rap",42927.8888888889
"4430","fluxwork",42893.6956521739
"7718","coupe-decale",42874.2857142857
"6697","street band",42862.75
"6524","canadian post-hardcore",42848
"1039","mgpjr",42820.3333333333
"839","classic soundtrack",42811.4259259259
"3901","canterbury scene",42800.8
"6157","balkan brass",42736
"6072","asheville indie",42676.5
"4711","peruvian indie",42630.375
"3830","rap paranaense",42595.75
"970","indonesian viral pop",42518.1666666667
"3756","norwegian rock",42517.9189189189
"4011","jazz house",42485.7777777778
"1375","german underground rap",42470.11
"7432","jazz vibraphone",42457
"4416","german trance",42436.8636363636
"3531","swiss pop",42418
"6011","musica para ninos",42385.3333333333
"4709","australian americana",42378.3333333333
"3654","yemeni pop",42336.625
"4777","432hz",42232
"1547","galician folk",42217.5
"2303","hungarian rock",42210.6774193548
"6119","ryukyu ongaku",42129
"3726","norwegian folk rock",42120.25
"6962","rock catala",42031.4117647059
"5192","charlotte nc indie",41964.6666666667
"5704","bard",41912.6
"1970","levenslied",41898.84
"1954","trap dominicano",41859.7272727273
"1128"," new americana",41847.1363636364
"2794","deep new americana",41847.1363636364
"2352","uk melodic rap",41824.0869565217
"2808"," stoner rock",41814
"1719","ecuadorian alternative rock",41811
"5237","free improvisation",41785
"1227","minimal tech house",41604
"4674","violin",41601.5575221239
"3261","tijuana electronic",41526.4
"5852","christian a cappella",41352.25
"1060","russian viral rap",41307.5357142857
"1708","bboy",41280.6428571429
"6953","leeds indie",41277.3333333333
"4829","spanish folk rock",41250.875
"4362","beatboxing",41183.5714285714
"4997","montenegrin pop",41087.25
"893","danspunk",41081.8039215686
"437"," hungarian rock",40823.6666666667
"572","cape town indie",40787.3333333333
"84"," dance pop",40756.756097561
"1592","uk drill",40726.0595238095
"2535","kleinkunst",40722.7333333333
"2362","gaming edm",40628.012987013
"790","middle east hip hop",40608.1578947368
"7281","spiritual jazz",40576
"5728","polish old school hip hop",40556.5454545455
"1972","austrian indie",40530.25
"4065","float house",40509.3232323232
"3447","canadian indigenous",40440.125
"140"," greek pop",40433.5357142857
"1773","classic greek pop",40433.5357142857
"6658","rap capixaba",40329.6666666667
"3042","hungarian metal",40265
"5126","carnatic vocal",40015.2941176471
"6521","norwegian space disco",39994.2
"1979","t-pop girl group",39980.1
"6078","rap metal espanol",39947.2
"4363","vocal harmony group",39942.4444444444
"7310","psychobilly",39917.5
"5984","connecticut indie",39914
"6155","indie dream pop",39911.7058823529
"5003","rogaland musikk",39879.7272727273
"4941","phonk",39810.5078125
"3178"," classical",39773.2897033159
"2760","swedish pop rap",39708.972972973
"3290","christchurch indie",39705.6666666667
"1","nordic house",39693.6666666667
"1810","indie siciliano",39584.1666666667
"6876","tulsa indie",39549.5
"2603","pop house",39473.3278688525
"4340","native american hip hop",39387.5
"3995"," choral",39318.875
"5982","south african choral",39318.875
"6977","experimental electronic",39316.7804878049
"3102"," ska punk",39306
"6595","modern ska punk",39306
"115","norwegian pop",39123.7313829787
"1965","cologne hip hop",39119.8076923077
"1711","swiss rock",39112
"5176","jazz catala",39024
"5692","rva indie",38993
"2355"," noise pop",38911.619047619
"5650","spanish noise pop",38911.619047619
"7713","bloco",38840.5
"5201","downtempo bass",38804.5384615385
"4555","medieval folk",38797.75
"4681","croatian indie",38768.3333333333
"543","romanian trap",38738.6907216495
"6702","japanese progressive house",38625
"5839","accordion",38570.6666666667
"2889","destroy techno",38447.1764705882
"3273","french tech house",38431.875
"625","chinese drama ost",38314.8888888889
"2569","palestinian pop",38311.5
"6161","smooth soul",38238.1
"5890","israeli jazz",38182.8
"7287","spanish indie rock",38108
"436","hungarian pop",38030.1233766234
"3058"," boom bap",37822.7567567568
"2638","canadian old school hip hop",37816.8125
"4124","rap italiano old school",37777.7407407407
"4385","liquid funk",37751.5555555556
"4991","zambian hip hop",37730.8571428571
"5867","hard motivation",37698
"7100","kurdish folk",37697
"2392","korean singer-songwriter",37690.2142857143
"3197","german trap",37690.1755319149
"2177","japanese jazz",37564.7959183673
"3167","arab groove",37545
"6829","horror synth",37500.3333333333
"2967","strut",37462.8928571429
"4019","reggae cover",37461.25
"3195","assamese pop",37391.3333333333
"896","swedish gangsta rap",37377.1764705882
"5826","raggatek",37371
"3301","dark clubbing",37342.09375
"6794"," banjo",37302
"7630","volksmusik",37219.04
"306","czsk hip hop",37195.2
"4485","poetry",37143.4705882353
"7340","tekno",37105.5
"5636","hmong pop",37084
"5533","trival",37075.1666666667
"3792","classic greek rock",37074.3333333333
"7786"," greek rock",37074.3333333333
"7318","ukulele",37068
"4743","chanson paillarde",37044
"5546","latin soundtrack",37028.125
"1244","nz folk",36980.4
"1290","cypriot pop",36948.3333333333
"4897","timba",36948.2666666667
"5227","musica tabasquena",36932.5
"3837","future funk",36920.0625
"3979","dark jazz",36916.1875
"392","chill drill",36880.85
"5837","oshare kei",36853.5
"6045","sinhala indie",36838.5
"4580","lagu melayu",36837
"3498","k-rock",36826.8181818182
"3562"," karneval",36796.1764705882
"5504","kolsche karneval",36796.1764705882
"1456","classic k-pop",36782.0909090909
"1989"," k-pop",36782.0909090909
"1367","chinese r&b",36777.2830188679
"6546","xtra raw",36767.5
"5121","musica catarinense",36760
"6213","pahadi pop",36726
"1464","full on",36717.4705882353
"319","eurovision",36637.3927125506
"28","estonian hip hop",36578.24
"6803"," spa",36573.4545454545
"209"," tropical house",36492.9220779221
"800"," rockabilly",36478.8181818182
"5129","nz singer-songwriter",36473.9090909091
"1915","sinhala pop",36444.75
"6447","outsider house",36436.8125
"7572","german blues",36332
"6858","sigilkore",36257.75
"4121","australian underground hip hop",36252.4375
"1283","czech folk",36221.4406779661
"5534","utah indie",36137
"3323","indie catala",36084.9583333333
"285","bristol electronic",36058.5882352941
"5106","rap underground argentino",36039.35
"617"," tropical",36033.5512820513
"6990","minneapolis indie",35979.8
"2466","nasyid",35949.9411764706
"672","festigal",35907.125
"6262","experimental guitar",35876.6666666667
"1348","trap peruano",35834.5714285714
"5434","nordic soundtrack",35807.9090909091
"4652","canadian blues",35802
"349","kizomba",35750.1954022989
"2500","rap uruguayo",35624.9090909091
"3263","karneval",35622.3888888889
"1171","swedish eurodance",35535.1176470588
"1209","dansband",35511.2258064516
"1484","norwegian country",35430.9333333333
"1709","rap kreyol",35403.3
"7758","sasscore",35389.8333333333
"7529","highlife",35368.3333333333
"6954","steampunk",35266.8333333333
"5499","belarusian electronic",35252.3333333333
"2412","icelandic classical",35202.71875
"1444"," trance",35109.8256029685
"1604","rock alternatif francais",35107
"3313","cyber metal",35097.5
"6002","indie cordoba",34983
